country, order_value_EUR , amount,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,product_id
Belgium,93153.98,79702.55,2020-03-04,Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,Mobile,50-0942872,M0029
Bulgaria,98289.32,84116,2019-02-15,Appliances,"Murray, Reichel and Nolan",Charil Alpe,Shermy McGready,PC,78-2307905,P0030
Luxembourg,108920.56,94270.74,2019-08-07,Books,"Swaniawski, Runolfsson and Green",Ilsa Kob,Jocelyn Laurentino,PC,63-0019978,P0031
Portugal,37273.84,31559.76,2020-01-20,Games,Considine-Fisher,Celine Tumasian,Aurelie Wren,Tablet,26-9948924,T0032
Spain,221745.05,190767.27,2019-06-25,Appliances,Kirlin and Sons,Emalia Dinse,Bertha Walbrook,Mobile,72-7630507,M0033
Netherlands,54566.99,43757.27,2020-03-23,Smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,PC,36-3410564,P0034
Portugal,111639.29,97204.33,2019-10-28,Smartphones,"Keeling, Monahan and Pollich",Celine Tumasian,Hortense Gerring,PC,82-4653018,P0035
Sweden,74273.54,61981.27,2020-03-28,Beauty,"Swaniawski, Runolfsson and Green",Maxie Marrow,Caro Morfield,PC,29-1001593,P0036
Portugal,95566.43,80342.7,2019-07-05,Clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,PC,59-5568557,P0037
France,28783.05,24776.45,2019-03-29,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,PC,12-1249283,P0038
UK,124414.74,98959.48,2019-06-13,Outdoors,Labadie and Sons,Jessamine Apark,Winny Agnolo,PC,96-0180648,P0039
Portugal,153029.72,125117.1,2020-01-28,Games,Friesen-Rath,Celine Tumasian,Corene Shirer,PC,51-9029547,P0040
Sweden,174919.64,146845.04,2020-03-11,Clothing,Wiza and Sons,Maxie Marrow,Caro Morfield,Mobile,84-2614836,M0041
France,55804.05,46401.07,2019-05-03,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,57-6995715,P0042
France,89160.66,75367.51,2019-11-18,Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,PC,27-4115444,P0043
UK,27987.13,24001.76,2019-03-26,Games,Labadie and Sons,Jessamine Apark,Genevra Charrisson,PC,34-3302340,P0044
France,18326.41,15067.97,2019-03-02,Games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,PC,25-6638623,P0045
Netherlands,62708.6,51414.78,2019-08-29,Smartphones,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,11-5260310,P0046
UK,124668.36,103998.35,2020-05-11,Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,PC,68-5024232,P0047
Italy,109390.57,87414,2020-12-11,Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115,M0048
Portugal,103279.79,82334.65,2020-12-03,Appliances,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,23-8271333,P0049
France,173478.65,139650.31,2019-01-29,Books,Johns and Sons,Othello Bowes,Avrit Chanders,PC,99-7422044,P0050
Sweden,57927.54,48914.01,2019-01-18,Games,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,Mobile,67-6692861,M0051
Portugal,84767.77,68950.1,2020-01-18,Electronics,McGlynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688,M0052
France,138175.53,116744.51,2020-03-11,Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,80-8230605,P0053
Portugal,143107.89,121241,2020-02-11,Electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377,M0054
Sweden,54446.5,44989.14,2020-09-03,Appliances,Wunsch LLC,Maxie Marrow,Alyosha Meah,Tablet,47-5524071,T0055
Portugal,136324.9,110436.8,2019-10-29,Electronics,Walter LLC,Celine Tumasian,Hortense Gerring,Tablet,76-2572347,T0056
Portugal,43066.58,36154.39,2019-08-02,Games,"Hamill, Kulas and Roob",Celine Tumasian,Hortense Gerring,Mobile,74-4429133,M0057
France,224626.25,189988.88,2020-07-21,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC,69-1300467,P0058
France,115689.22,98127.6,2019-07-15,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,99-8643527,P0059
Bulgaria,78293.94,66236.67,2019-10-13,Appliances,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,Mobile,14-1143584,M0060
Portugal,92698.45,73454.25,2020-01-13,Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,62-4331197,P0061
Bulgaria,83141.47,72000.51,2019-03-15,Outdoors,Wisoky Inc,Charil Alpe,Shermy McGready,Mobile,02-3333733,M0062
Portugal,38982.26,32854.25,2019-12-10,Clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Mobile,09-3959499,M0063
Portugal,57120.58,49654.92,2019-11-25,Games,"Leffler, Prohaska and Streich",Celine Tumasian,Aurelie Wren,PC,55-7848276,P0064
Sweden,240759.07,205415.64,2020-06-14,Appliances,"Schmitt, Purdy and Johnson",Maxie Marrow,Tarrah Castelletti,PC,98-1814878,P0065
Sweden,53849.12,47354.92,2020-04-15,Games,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,PC,83-9569509,P0066
Ireland,361182.87,288368.4,2019-02-12,Books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,PC,44-1953194,P0067
Sweden,97063.22,78067.95,2019-10-19,Appliances,"Zieme, Bailey and Herzog",Maxie Marrow,Madelon Bront,Tablet,50-0376562,T0068
Spain,39110.97,34315.97,2019-10-27,Clothing,"Bashirian, Okuneva and Bechtelar",Emalia Dinse,Perri Aldersley,PC,06-9596696,P0069
France,123672.7,106036.97,2020-11-13,Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,PC,46-2632808,P0070
France,144640.8,118345.1,2019-11-04,Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,77-7771177,P0071
France,268779.03,233676.49,2019-12-27,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile,13-0624842,M0072
Sweden,53593.86,45629.81,2020-12-07,Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,PC,71-4409662,P0073
France,155044.02,134268.12,2019-10-25,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,PC,46-0270404,P0074
Portugal,102495.13,85009.46,2020-08-08,Smartphones,"Hermiston, Simonis and Wisoky",Celine Tumasian,Hortense Gerring,Tablet,70-7107956,T0075
Portugal,294472.77,255572.92,2019-11-06,Smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,Tablet,84-5310661,T0076
Sweden,64053.77,54733.95,2020-01-09,Beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,PC,75-6638402,P0077
UK,24543.72,19492.62,2019-03-22,Clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,PC,53-0615558,P0078
Portugal,161544.06,132579.21,2019-12-09,Clothing,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC,00-2549549,P0079
Portugal,50303.66,41103.12,2020-06-01,Appliances,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Smitty Culverhouse,PC,23-1397222,P0080
Sweden,124593.04,109106.13,2020-11-01,Appliances,Johns and Sons,Maxie Marrow,Madelon Bront,Mobile,00-4698524,M0081
Sweden,44147.92,37163.72,2020-05-18,Beauty,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,76-3837496,P0082
Bulgaria,42239.66,37039.96,2019-05-17,Smartphones,Johns and Sons,Charil Alpe,Shermy McGready,PC,61-7979087,P0083
Sweden,113763.38,91158.6,2020-01-04,Books,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Madelon Bront,PC,52-8377955,P0084
Portugal,183363.6,155033.92,2019-06-24,Smartphones,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,87-6162387,P0085
France,85220.83,73767.15,2019-09-15,Beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,Tablet,11-8965256,T0086
Portugal,87513.27,72469.74,2020-05-03,Books,"Lubowitz, McLaughlin and Erdman",Celine Tumasian,Corene Shirer,Mobile,16-9079414,M0087
Bulgaria,37073.91,30274.55,2019-04-26,Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,Tablet,15-9091881,T0088
France,122139.94,103684.6,2019-02-11,Smartphones,Smith Group,Othello Bowes,Ora Grennan,PC,07-3222085,P0089
France,107586.21,94525.24,2020-07-06,Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,PC,20-3384992,P0090
UK,203958.16,176444.2,2020-02-12,Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,PC,09-3404706,P0091
Portugal,55132.39,47121.65,2019-11-06,Clothing,"Dickinson, Hyatt and Berge",Celine Tumasian,Hortense Gerring,PC,97-8712680,P0092
Ireland,135424.06,116275.1,2020-01-15,Electronics,"Hamill, Kulas and Roob",Glenine Suttaby,Palm Wetherald,PC,43-4245267,P0093
Sweden,167123.72,132946.92,2019-01-08,Smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,PC,58-8969119,P0094
Germany,92868.37,79068.13,2020-03-30,Electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,PC,88-8436664,P0095
Portugal,108689.45,91223.06,2019-09-11,Appliances,Walter LLC,Celine Tumasian,Brynn Dempster,Mobile,35-6825112,M0096
Portugal,79874.42,68132.88,2020-11-14,Outdoors,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,PC,24-4511396,P0097
Germany,153011.39,131543.89,2019-09-13,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,99-0564964,P0098
Portugal,72857.41,60442.51,2020-10-05,Clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,PC,47-9920494,P0099
France,102771.44,83584.01,2019-11-24,Accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,PC,82-9352154,P0100
UK,90559.16,75318.05,2019-08-26,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,PC,74-6920956,P0101
Portugal,141796.75,112317.21,2020-09-16,Games,Johns and Sons,Celine Tumasian,Corene Shirer,PC,16-8778373,P0102
Bulgaria,103874.1,82112.48,2019-01-14,Outdoors,Johns and Sons,Charil Alpe,Shermy McGready,PC,85-4014655,P0103
Spain,134908.19,114388.65,2020-08-18,Clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,PC,25-2355172,P0104
Portugal,45256.74,38975.1,2019-01-14,Other,"Spencer, Rogahn and Muller",Celine Tumasian,Smitty Culverhouse,PC,31-7667796,P0105
Portugal,131018.65,107920.06,2020-02-04,Clothing,Hane Inc,Celine Tumasian,Brynn Dempster,PC,39-2536155,P0106
Ireland,84877.87,68454,2019-01-12,Electronics,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,30-8840089,P0107
France,168197.78,144246.42,2019-01-13,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,PC,93-8309926,P0108
UK,383996.76,304701.43,2019-12-19,Other,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,42-7823733,P0109
France,56811.14,48221.3,2019-07-10,Clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,PC,03-9337803,P0110
Portugal,74364.46,60145.98,2020-01-21,Clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,Mobile,42-1879788,M0111
Finland,235608.66,201468.96,2020-07-27,Games,Hegmann Group,Hube Corey,Wat Bowkley,Tablet,42-8394841,T0112
Sweden,31627.37,25662.45,2020-08-27,Beauty,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Caro Morfield,Mobile,84-5642889,M0113
Sweden,57227.99,46331.78,2019-03-28,Appliances,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,92-7234550,P0114
Portugal,84598.68,72391.09,2020-04-28,Clothing,"Hamill, Kulas and Roob",Celine Tumasian,Brynn Dempster,PC,98-5721101,P0115
Sweden,98322.98,84872.4,2020-09-10,Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,PC,32-9344186,P0116
Netherlands,62567.58,49916.42,2019-04-21,Clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,40-7356336,P0117
Sweden,239423.57,199152.52,2019-08-12,Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,Mobile,94-1762263,M0118
France,68773.03,59082.91,2019-09-30,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,26-5649751,P0119
Germany,102918.09,87480.38,2019-10-28,Smartphones,"Swaniawski, Runolfsson and Green",Rickard Doogood,Casie MacBain,PC,88-5343320,P0120
UK,150313.19,118927.8,2020-01-23,Beauty,Johns and Sons,Jessamine Apark,Jay Morefield,PC,09-6527060,P0121
Sweden,144072.9,123729.81,2019-07-13,Beauty,"Fisher, Morar and Skiles",Maxie Marrow,Anita Woakes,PC,85-3431441,P0122
Sweden,69681.43,55529.13,2020-01-25,Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,PC,78-3301264,P0123
Sweden,78542.59,68010.03,2019-05-26,Games,Kihn Inc,Maxie Marrow,Caro Morfield,PC,02-9523107,P0124
Portugal,37582.13,31967.36,2020-07-05,Appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,Mobile,19-9205287,M0125
Sweden,88329.48,73755.12,2020-08-16,Clothing,Corwin and Sons,Maxie Marrow,Caro Morfield,Mobile,94-1199389,M0126
Portugal,249099.44,215695.2,2020-06-15,Other,Johns and Sons,Celine Tumasian,Corene Shirer,PC,88-4621939,P0127
UK,28328.78,24408.08,2019-02-19,Clothing,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,PC,68-9634139,P0128
Portugal,162246.76,142663.58,2019-08-28,Games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,44-5200140,P0129
Germany,161217.16,135696.48,2019-10-20,Games,Labadie and Sons,Rickard Doogood,Casie MacBain,PC,98-6247105,P0130
France,37397.43,30837.92,2020-05-17,Games,Hegmann Group,Othello Bowes,Avrit Chanders,PC,24-6566439,P0131
UK,99064.31,85393.44,2020-10-07,Books,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,52-9152387,P0132
Sweden,15817.05,13743.44,2019-10-03,Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,PC,26-9787272,P0133
Portugal,38930.16,32837.59,2020-11-18,Outdoors,"Spencer, Rogahn and Muller",Celine Tumasian,Brynn Dempster,PC,12-2202467,P0134
Portugal,28859.73,23656.32,2019-09-01,Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile,82-0537890,M0135
France,54079.04,45031.62,2020-05-29,Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,PC,15-6838362,P0136
Sweden,70596.7,60564.91,2020-09-02,Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,PC,51-0685379,P0137
UK,169629.55,135347.42,2019-10-23,Outdoors,Johns and Sons,Jessamine Apark,Jay Morefield,PC,76-5919033,P0138
Portugal,95387.89,76195.85,2020-08-05,Books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,PC,34-7627348,P0139
France,50585.98,40999.94,2020-08-29,Beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437,T0140
Sweden,103726.57,90231.74,2020-05-21,Clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,Mobile,25-9913528,M0141
UK,222700.23,194951.78,2020-12-12,Appliances,Johns and Sons,Jessamine Apark,Genevra Charrisson,Mobile,73-3464233,M0142
Portugal,143322.47,114213.68,2020-05-19,Books,Johns and Sons,Celine Tumasian,Corene Shirer,PC,04-2863062,P0143
UK,128227.36,106710.81,2019-01-06,Accessories,"Murray, Reichel and Nolan",Jessamine Apark,Jay Morefield,PC,18-7077174,P0144
Sweden,127939.8,112267.17,2019-09-12,Clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,PC,64-8300193,P0145
Sweden,146540.75,120822.85,2019-04-30,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Anita Woakes,PC,84-2858993,P0146
Portugal,36321.68,31581.7,2020-10-29,Books,Kirlin and Sons,Celine Tumasian,Smitty Culverhouse,PC,72-2647440,P0147
Spain,42814.57,35356.27,2019-01-02,Beauty,Wiza and Sons,Emalia Dinse,Perri Aldersley,PC,68-1806238,P0148
UK,169262.2,141080.04,2020-04-26,Beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,PC,87-0922827,P0149
Sweden,114427.36,93727.45,2020-11-03,Other,Tillman and Sons,Maxie Marrow,Madelon Bront,PC,33-8547717,P0150
UK,126979.62,105113.73,2019-09-26,Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC,15-5051694,P0151
Luxembourg,294874.74,259106.43,2020-12-15,Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,PC,37-2363680,P0152
UK,173258.94,143198.51,2019-05-24,Clothing,Johns and Sons,Jessamine Apark,Jay Morefield,PC,92-4106004,P0153
Luxembourg,158362.33,133990.37,2020-08-14,Books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,PC,39-1671087,P0154
UK,50689.19,43597.77,2020-11-18,Clothing,"Swaniawski, Runolfsson and Green",Jessamine Apark,Jay Morefield,PC,77-9240051,P0155
Ireland,117358.02,102664.8,2020-02-11,Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,PC,79-8966057,P0156
Sweden,93996.68,77171.27,2020-10-10,Games,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Mobile,75-0683725,M0157
UK,119769.22,98234.71,2020-11-01,Books,"Bashirian, Okuneva and Bechtelar",Jessamine Apark,Jay Morefield,PC,55-5032186,P0158
France,84194.21,71885.02,2020-12-26,Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719,M0159
Finland,205582.75,166748.17,2020-12-22,Beauty,Tromp LLC,Hube Corey,Wat Bowkley,PC,64-4923214,P0160
Sweden,159793.46,139180.1,2019-06-15,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Tablet,98-2574776,T0161
Portugal,104711.22,90868.4,2020-08-25,Clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,PC,33-0729966,P0162
France,69126.5,55902.6,2019-08-12,Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,PC,07-3201531,P0163
Sweden,20226.11,17408.61,2019-02-23,Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,PC,21-3278349,P0164
France,65036.81,52361.14,2019-05-30,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,50-1695443,P0165
France,254021.98,205605.39,2019-03-07,Clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,PC,52-3693331,P0166
Luxembourg,160185.99,130487.51,2020-09-27,Accessories,"Zieme, Bailey and Herzog",Ilsa Kob,Jocelyn Laurentino,PC,98-3033030,P0167
UK,81219.67,70319.99,2020-05-20,Clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,PC,34-5793997,P0168
Portugal,108412.76,88594.91,2019-03-08,Smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,Mobile,52-7280101,M0169
Spain,42028.45,36299.97,2020-01-03,Other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,PC,55-3118263,P0170
Sweden,62272.96,54600.93,2019-02-20,Beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,PC,58-9822844,P0171
Sweden,91350.76,75839.4,2019-04-02,Games,Tillman and Sons,Maxie Marrow,Alyosha Meah,PC,51-5324396,P0172
UK,123272.44,101576.49,2019-01-20,Clothing,"Christiansen, Donnelly and Bechtelar",Jessamine Apark,Genevra Charrisson,Tablet,99-5465830,T0173
Luxembourg,182852.21,145440.65,2019-12-28,Outdoors,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,PC,01-8696189,P0174
Portugal,118321.11,94822.54,2020-11-23,Electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879,T0175
UK,74295.81,63716.09,2019-11-04,Games,"Keeling, Monahan and Pollich",Jessamine Apark,Genevra Charrisson,PC,85-8092784,P0176
UK,152865.34,121130.5,2020-06-12,Clothing,Konopelski LLC,Jessamine Apark,Genevra Charrisson,PC,97-5905883,P0177
France,171458.64,148877.54,2019-08-16,Books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,74-6473826,P0178
UK,156177.77,130096.08,2019-12-24,Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,91-0416047,P0179
Portugal,116023.51,96566.37,2020-02-06,Smartphones,Tillman and Sons,Celine Tumasian,Smitty Culverhouse,PC,34-0232219,P0180
France,70657.26,61330.5,2020-05-09,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,34-0783331,P0181
Netherlands,104152.15,85696.39,2019-06-05,Smartphones,"Swaniawski, Runolfsson and Green",Denice Amberg,Nero Harbisher,Mobile,30-8215510,M0182
Portugal,84224.98,68239.08,2019-01-21,Appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile,95-3196761,M0183
Portugal,172505.24,139125.48,2020-02-10,Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,PC,99-3651863,P0184
Portugal,89830.34,76795.96,2019-04-19,Games,Johns and Sons,Celine Tumasian,Aurelie Wren,Tablet,94-8641337,T0185
Netherlands,353925.06,287528.72,2020-04-12,Clothing,Corwin and Sons,Denice Amberg,Nero Harbisher,PC,36-2694099,P0186
France,141436.98,114691.25,2019-05-26,Outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,PC,40-5308505,P0187
UK,178465.4,156282.15,2020-04-27,Accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,PC,68-8279682,P0188
Sweden,110092.84,92797.25,2020-06-29,Other,"Rowe, Hermiston and Kessler",Maxie Marrow,Anita Woakes,Tablet,50-2481520,T0189
UK,154715.49,126572.74,2020-10-23,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,PC,46-1054213,P0190
Sweden,92877.57,75936.7,2020-05-04,Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile,40-9497268,M0191
France,66141.13,53435.42,2019-05-26,Clothing,Stehr LLC,Othello Bowes,Ora Grennan,PC,54-5107115,P0192
Germany,241782.39,196544.91,2020-09-06,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,15-7053450,P0193
Portugal,211872.69,177930.69,2019-07-23,Games,Johns and Sons,Celine Tumasian,Hortense Gerring,Mobile,36-2012010,M0194
Portugal,170408.23,143432.61,2020-03-11,Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile,61-7521706,M0195
Sweden,157683.41,130624.94,2019-08-06,Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet,17-0893784,T0196
Portugal,116157.89,97166.07,2019-11-14,Games,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,PC,23-5766200,P0197
France,56106.13,45081.27,2020-12-03,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,24-3140242,P0198
Sweden,40385.45,32591.06,2020-07-15,Smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,PC,81-0573181,P0199
UK,112491.58,92254.34,2019-10-24,Appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Mobile,13-1936536,M0200
Finland,200635.57,172245.64,2019-11-12,Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,PC,94-8026718,P0201
Portugal,243176.92,202250.24,2020-03-07,Appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,PC,81-5976459,P0202
